,用户ID,评论时间,评论文本,positive_prob,sentiment,neutral_prob,negative_prob
1404,,,经济能力很重要,0.0458,负面,0.0017,0.9526
1405,,,"我说:“可以跟女生在一起么”
我妈:“那我去跳楼”
我说:“我不结婚可以吧”
我妈:“那随便你”",0.7194,正面,0.001,0.2796
1406,,,“爸，我恋爱了”“哦，有空带到家里来吃饭”“可是……那是个女孩子……”“……女孩子也要吃饭啊”,0.9951,正面,0.0,0.0049
1407,,,我无数次向别人解释，我是双性恋，但不是花心,0.5038,正面,0.0118,0.4844
1408,,,看哭了😭😭和妈妈一起对抗这个世界的不美好和不温柔，这本身就是一件很美好很温柔的事了,0.9902,正面,0.0017,0.008
1409,,,我嘛，对男的也没感觉对女的也没感觉（现实），只想自己留长头发当女生那种的，很唯美,0.0075,负面,0.0006,0.9919
1410,,,真的太棒了，阿姨三观好正啊！泪目！,0.9968,正面,0.0001,0.0031
1411,,,不支持，不反对，不歧视，不宣传。,0.9953,正面,0.0002,0.0045
1412,,,"我是异性恋。初中的时候有一个好闺蜜，上厕所都要手拉手。
有一天，我妈很严肃的找到班主任，说我是同性恋。
班主任又拿到班会上说，那段时间我和闺蜜两个，走到哪里都是恶毒的语言。
现在长大了，直到现在，我妈还认为我是同性恋。（交过男朋友，还带回家了，我妈还是认为我是拉拉。）
因为单身太久，在我二十六岁生日那天，我妈把我叫到车库，很严肃的跟我说：妈妈只是希望有个人跟你携手走接下来的路，不管是男的也好女的也好，你把女朋友带回家给我看看吧。
我：？？？？",0.2295,负面,0.0085,0.7619
1413,,,前天和妈妈出柜了，我说我喜欢女生（没有告诉她我有女朋友），不会考虑和男生谈恋爱。妈妈并没有暴跳如雷，她很平静地说她觉得很可怕，觉得我有心理问题，然后反问我现在的孩子为什么都不想结婚了。最后她和我说即使是不喜欢男生也不要找女生。。她今天和小区楼底下的叔叔阿姨讨论了两个多小时谈恋爱的问题。,0.0615,负面,0.024,0.9145
1414,,,不婚主义者不知道怎么抵抗世界，诶,0.6082,正面,0.0067,0.3851
1415,,,看完迪斯尼的视频，就过来了，哭了一切会顺顺利利的，真的会的,0.9767,正面,0.0002,0.023
1416,,,不得不说父母乃至家庭的影响实在太大，我一直觉得这个社会没有正确的男女相处的观念。从小就是男女授受不亲，长大一点了，又严令禁止早恋，要好好学习。虽然说人不可能那么老实，说不早恋就一点心思不动，但是终究不敢过分，更不敢让他们知道你喜欢谁。说白了，就是过度压抑天性，而不是向正确的方向引导。到了成年，又开始马不停蹄的催婚，问你当初在学校就没有处得好点的女同学吗？  我特么……吐血,0.0493,负面,0.0015,0.9491
1417,,,我一直看一直哭，UP的话刺痛了我的心。我佩服包括UP在座所有人的勇气。,0.9831,正面,0.0048,0.0121
1418,,,拉拉完全可以接受，但男的真的没法做朋友，特别是那种特强壮的我正常取向，但有2对拉拉的朋友，一对是麻友，一对是很要好的那种，不过有时候喝醉了睡一个屋子还是会有非分之想，怪她们真的太会打扮了，但我很块就会恢复理智告诉自己她们是我好朋友，现在两对都分了，麻友其中一个还结婚生子了，拉拉谈恋爱很辛苦的，还有一点，千万别问她们怎么发生关系这个问题，她们会问候你母亲的，10多年的朋友也一样,0.9868,正面,0.0006,0.0126
1419,,,我是一个双性恋患者，我告诉我妈说我喜欢男的，结果我妈说要是你找男的就不让我这个儿子，咋办,0.7968,正面,0.0064,0.1968
1420,,,为什么骂啊，我觉得up说得很清楚啊,0.9544,正面,0.001,0.0446
1421,,,作为一个自性恋，只爱我自己。以前也谈过男朋友，但是我非常清楚我为什么喜欢他，因为他就是我的理想对象就是我喜欢的样子，哪怕这个人不是他我也同样会喜欢，因为我喜欢的就是这个样子的人啊。后来分手了，痛苦了很长时间，终于搞清楚问题出在我自己身上，我喜欢的不过是理想中的我自己，我多愁善感，所以喜欢他勇敢坚强，我柔弱，所以喜欢他阳刚，我不安，所以喜欢他能保护我，我喜欢他温柔，因为我希望被呵护。我只是喜欢那些我没有的品质罢了，我喜欢的是更完美的我自己。如果这一切我都有，我哪里需要去喜欢别人呢？所以，修炼自我才是一个人成长的最好道路。现在，我可以对过去毫无介意，因为我已经变成了我自己最喜欢的样子，我不需要去爱别的任何人，将来我也只会变的让自己更满意。,0.9686,正面,0.0003,0.0312
1422,,,我有天问我妈妈，我要说我是个同性恋，你怎么说，她说那我要被你气死。那会我已经领男朋友回家了，所以她知道我只是问问她，看看她的反应。我跟她说同性恋不是病，她也不信。其实up主的父母能这么开明是一件很好的事情，世界上有很多父母是做不到这样的。我没有骗婚，我确实不是同性恋。,0.9771,正面,0.0008,0.0221
1423,,,每次遇到喜欢的出柜的人我都不知道是该在外表上夸他帅还是漂亮，就比如如果一个出轨的女生打扮的比较男性化，所以我该夸她帅气她会比较开心吗？我凌乱了,0.9553,正面,0.0021,0.0426
1424,,,同性恋就恋呗，拿来宣传就很恶心了,0.7171,正面,0.0164,0.2664
1425,,,"花里胡哨的。就是矫情。
以前就没有这么多弯弯绕绕的。
都是现在一大推各种各样的百合作品啊，基佬作品啊，还有一些稀奇古怪的价值观的作品等等。
讲那么多，不还是喜欢漂亮的女生，漂亮的男生。
这些作品的出现，导致一大帮人想要显得自己与众不同，然后另一帮人想显得包容平等来附和这种观点。
真是搞笑。同性恋就同性恋，反正社会主流就是不接受但会接纳。
你还想着所有人都能接受同性恋啊？

从生物种族角度来说，如果不能进化但同性繁殖，那就是我们这个种族的害群之马，是可致病的病毒。想让这种病毒蔓延开来？
也就是人类有智慧，有包容，要么对科学做出贡献，要么就当好一个有良心的病毒。",0.7871,正面,0.1153,0.0974
1426,,,现在承认同性恋也成了政治正确吗，还一口一个希望你们出柜成功,0.0489,负面,0.0013,0.9498
1427,,,我不歧视，但是我不希望国家通过同性恋法，不仅对传统道德冲击很大，最重要的是会导致整个民族慢性自杀，毕竟同性恋不能生下一代，这么大个国家，需要有人去守护,0.1223,负面,0.0057,0.872
1428,,,你是同性恋，那女生和你一个寝室和她们与一个男生住在一个寝室有什么区别？没有恶意，就是想问一下。,0.9845,正面,0.0001,0.0155
1429,,,初中时喜欢一个女孩，于是我就害怕被人发现，就申请转学了，直接从南方转到北方，于是我就被物理掰直了。,0.2178,负面,0.0082,0.774
1430,,,"第一次看你视频的时候，有几十秒没反应过来有什么不对，之后越来越怀疑到最终确定你就是同性恋。奇怪的是，虽然我第一次看到同性恋，但我这个钢铁直男竟然没有什么异样的感觉。看了你更多的视频之后，我拉着老婆一起看你们的恋爱vlog ,哈哈，我老婆惊呆了，她很传统，缓了半天，经过我解释才慢慢承受了第一次亲眼看到女同性恋的冲击力😄，总之，祝福你，祝福你们！喜欢你的性格，让人轻松愉快，加油！",0.7749,正面,0.0014,0.2237
1431,,,我大三跟我妈出柜来着，我妈表情毫不意外，异常淡定。后来我问她为什么那么冷静，我妈说，感情的事没那么轻松，你现在的年纪就算遇到异性也不一定能过一辈子，我跟你说也没用，过时间长了自己就知道了。...(￣ε(#￣)Σ,0.9911,正面,0.0001,0.0088
1432,,,"我:妈我以后不太想结婚。
我妈:不结就不结，反正我结完婚就后悔了。
我爸:……",0.9992,正面,0.0,0.0008
1433,,,"因为不是同性恋，但挺好奇一件事，假如同性恋被迫和一个异性相处，就是必需认真对待谈一场恋爱那种，会不会因为异性的陪伴而产生男女感情呢？毕竟这个世界的风气是男和女可以在一起的。
就像我小时候讨厌吃鱼，现在却特别喜欢吃鱼，人的观点应该是和喜好一样会随着时间的沉淀而慢慢改变的，但有一种不变叫做坚持，也有人称为固执，我们每个人认定不变的，都无关对错，认定本身就是自己的真理。
我这样啰嗦，其实就是想问同性恋的朋友们一个问题，然后又怕被人拉出来鞭尸，特此声明一下：所有人，做的所有任何不违反国家法律的任何事，无关对错，只要你的选择能让你现在开心、未来顺意，你就是对的。",0.8786,正面,0.0849,0.0364
1434,,,我是双，我喜欢上谁不会考虑他或她的性别。我初中的时候问我妈我要是喜欢女生怎么办?我妈说，那她还不如现在就掐死我。那段时间我喜欢上一个女孩子，我一直惴惴不安因为我妈察觉到了什么变得很神经质。但我从来不觉得自己做错了什么，不会强迫自己去只喜欢男生。如果在我想去爱一个人之前，有人规定我一定要爱上什么性别的人什么性格的人什么年龄的人等等等等，那我会觉得好累，好像丧失了爱人的能力。,0.9935,正面,0.0002,0.0063
1435,,,"我...男生女生都会喜欢，但是
爸爸妈妈的态度完全不一样
妈妈觉得那是我自己的事，只要我过得好就可以
爸爸觉得不行，所以导致我至今没有跟爸爸坦白过我现在喜欢着一个女生",0.9434,正面,0.0027,0.0539
1436,,,我的性取向应该是异性，看到好看的异性会欣赏，但是我真正喜欢的是一个同性一个好看的女孩子，但我对其他女孩子都没有感觉，对男生也只是欣赏,0.9649,正面,0.0001,0.0349
1437,,,就目前已知的研究表明：性向是天生的，异性恋占多数，同性恋和双性恋是少数。虽然性向天生，但人的行为是可以转变的，有些人可能会处于满足情感依赖，追求刺激或者其他诸多原因，在短期内表现出另一种性向，流动的性向真的很少。不要妄图去掰弯或掰直别人，不管男女。指路up@DD第二代,0.998,正面,0.0001,0.0019
1438,,,"我父亲是一个很开明的人，母亲也还好，但是我觉得她被现在很多东西影响了，先说态度吧
我有一段时间经常和我爸妈透露一些关于同性恋的消息，我妈就问我“你不会是同性恋吧？”我说我不是，事实上我真挺直的，她还是有点不放心，总有点试探的意思，我爸当时说“她要是真是同性恋也改不了，喜欢同性还是异性，就像有人左撇子有人右撇子一样。”我爸从我小时候就没有避开过这个话题，而我妈确实没跟我谈过，她跟我简单说说关于性的时候我都啥都知道了。
但是我妈说她不喜欢同性恋，因为觉得好好的男孩子就应该阳光，同性恋都女性化了。我觉得“男孩子应该阳光”这本身就是性别刻板印象，而且很多卖腐、娱乐并不能说明一个群体的特征，不管男孩子还是女孩子，喜欢同性还是异性，活得开心已经很难，为什么还要管他们性格是不是符合大众?何况娱乐玩梗本身就不应当建立在这样上，会增添很多恶意。",0.2362,负面,0.0024,0.7614
1439,,,我个人是个直男，同性恋说实话没啥看法吧，男同性恋我不支持也不反对反正别找我就行跟我无关，女同性恋反而感觉比较有嗑头不知道为什么！,0.9623,正面,0.0018,0.0359
1440,,,"我问过我妈
“如果我是同性恋你会怎么想？”
“活到这个岁数没什么不能接受的，我不会阻止你，但是你也不要给自己定性，去尝试一下再说，我也不会管你，但是我真的不希望你是。”",0.1024,负面,0.1391,0.7585
1441,,,挺难过的，曾经有一个可爱的妹纸说喜欢我，因为兴趣相投，而且她有挺不错的文学功底……然而我选择了一个，非常不好的回应方式。（并没有和任何第三方说过啊，就是剩下的五年就一句话也没说，也不愿和她待在一块儿）我到现在很后悔，想抽自己一巴掌，你就是个shabby这样。但她后来和我聊，好似忘了这件事，往事云淡风轻，可我自己过不去，真的过不去。后来我自己恋爱也乱七八糟，可能我就是脑子有坑。希望别被你看到这条矫情的评论，当时我应该更温柔包容一点的，对不起。,0.2807,负面,0.0299,0.6894
1442,,,要不是我现在打不过我爸我早出轨了,0.93,正面,0.0217,0.0481
1443,,,我是一个初一的女生，五年级开始看耽美，六年级腐成渣渣，七年级弯的不行，现在在谈一个女朋友，感觉自己的爱情没有前途，没有结果，但就是不想和男生谈恋爱。我是一个攻(自我感觉超级御姐)。感觉和女生谈恋爱很安全，很舒服，但无法正常和男生谈恋爱。很想直(家里就我一个，不能断子绝孙)有没有人能帮帮我,0.7583,正面,0.231,0.0103
1444,,,我是一个男生，从小学的时候就总是从手机啊电脑啊上面看一些男生的图片，也觉得没什么，那会儿我还在想为什么自己不是一个女孩子？我有找过女朋友，但是总没有什么感觉，大概是初三的时候吧，我接触到了同性恋这个词汇，也慢慢开始了解，我知道我其实是喜欢男生的，但是我不敢跟周围的人说。我经常问我父母，跟他们说我将来可能不想结婚，也不想要孩子，但是他们也是跟我聊到了未来在我老了之后有没有人来照顾我什么的，直到现在他们也不知道我的情况。现在我已经高三了，不知道什么时候我才能光明正大的在朋友和父母面前找一个男朋友。我也想有自己的幸福，不想活的那么累。,0.8263,正面,0.0008,0.1728
1445,,,真羡慕有这样的妈妈，我昨天跟我妈出柜，我妈让我改过来，还不过来就要带我去看心理医生,0.0393,负面,0.0172,0.9435
1446,,,"emmm
我不是les
但是我不会去讨厌或者去反感的对每一个les或gay。
我记得对认识同性恋这种事情是在高中，因为我们高中有一对同性恋，而且几乎每天都可以看见她们在一起吃饭。然后我有一个同学，她很反感同性恋，看见她们就躲开啊，背后做出厌恶的表情什么的。我那时候什么也不懂，但是我看到她反感，我就说:“关我们什么事，你不用躲来躲去的，她们又不会来打你。”我本人当时反而很去羡慕她们勇敢的去爱啊，不在乎别人感受。真的羡慕。
我真正去了解同性恋是大二，然后我就问我妈
🙇:我如果中意女生怎么办？
🙎:(广东话)痴线噶！中意女仔做咩！
从那时候才知道我妈这么反对，我也无话可说。",0.9693,正面,0.0007,0.0301
1447,,,"《明天可期》gl文，长佩和晋江都有
这是我第一次了解同性恋，并认可同性恋的文。
推荐大家去看看。",0.7822,正面,0.0055,0.2123
1448,,,理解同性恋 因为这是与生俱来的 没有人想成为别人眼中的不正常 异类 希望所有人都能正常看待,0.9827,正面,0.0003,0.017
1449,,,"应该是和up同龄，确实初中那会儿学校里同性谈恋爱应该几乎没有，到高中就会出现，尤其是女生的同性恋人。我们高中那会儿有几对基本是全校知晓的情况，不过不说像我这种腐的，感觉大体上其他同学们接受度都还挺高的，也没有歧视或者避而远之之类的，也可能是学生素质思想都还可以(高中是重点学校)，这就得具体看不同情况了。
最后up提到的经济基础真的很重要，放在家庭的小圈子里是让家里人相信你放心你，如果扩展到整个同性的社会群体里就是个话语权的问题了。
不管怎么说，祝福up和评论区的一些朋友吧。",0.1382,负面,0.0015,0.8602
1450,,,不论是异性恋，还是同性恋，人生的路怎么走在于自己的选择，保持独立人格，有稳定的经济收入，日子才能过的不那么累。亲人能接受皆大欢喜，如果不接受，也可以理解。,0.9651,正面,0.0017,0.0332
1451,,,到现在也有谈过男朋友，但是都是追我，我没太大感觉之类的，高中有一个喜欢女生，是真的喜欢她只是喜欢她，不因为她是男生还是女生，她是钢铁直女。后来大学也有男生追过，但是都没有感觉了，也没再喜欢过别的女生之类的，单到现在，现在感觉都不会谈恋爱了，只会嗑纸片人,0.8705,正面,0.0007,0.1288
1452,,,全程看完这个视频。。。不知道该说些什么，点个赞留个币再走吧！（up的那个嗯～好可爱）,0.1187,负面,0.0393,0.842
1453,,,开玩笑地谈过这个话题，我爸说幼稚，我妈说有病,0.726,正面,0.2621,0.0112
1454,,,母胎单身20多年 木有爱情,0.0677,负面,0.028,0.9043
1455,,,封面以为是个男生 听声音好帅,0.0709,负面,0.0503,0.8788
1456,,,……怎么说…我非常清楚的知道自己是个同，但是我没有勇气去问爸爸妈妈对这件事的看法，我也不想让我的父母外婆因为我被外人指指点点，所以我选择了跟up不一样的做法，就是压着自己。我甚至已经做好了孤独终老的准备了,0.975,正面,0.0002,0.0248
1457,,,妈妈说的很对，作为父母首先是要考虑在父母离世之后你自己有没有能力照顾好自己，不管你跟谁你都要有能力让自己在这世上健康平安的生活下去。我也是一位母亲我不反对孩子同性恋但我希望我的孩子不管同性异性恋也好，能准备好你自己所选择的道路并认真踏实的走下去。,0.9618,正面,0.0012,0.037
1458,,,异性恋路人看哭了 up有一个伟大的妈妈 爱会让人勇敢也有底气 让我们有和这个世界和解的能力 希望我们都会遇到那个真正能够陪伴我们一生的伴侣 无关性别 无关一纸婚书 只是两个人 一起加油。,0.9648,正面,0.0004,0.0348
1459,,,我爸爸好像知道我喜欢女孩子，他没什么表示，他只要求我好好学习，找好工作养活自己。他觉得我学习那么差，可能配不上我喜欢的女孩子,0.8805,正面,0.0069,0.1125
1460,,,我觉得男生女生的印象现在不深刻了，我不会把自己定位成男生或是女生，我就是我。,0.9951,正面,0.002,0.0029
1461,,,以前能真的去喜欢一个人，爱一个人，现在完全喜欢不起来,0.3304,负面,0.0098,0.6598
1462,,,不好意思，虽然我觉得你说的很有道理。但是我的注意力全程都在后面的那面墙上，好多书啊，好幸福啊,0.0995,中性,0.6708,0.2295
1463,,,"我高考前一晚上
我：妈妈如果，我是说如果不想结婚
我妈：？你一个女孩子以后不结婚干嘛？这样不完整balabala……
我：enmn哎呀，这是我现在的想法，说不定以后改变了呢。好，明天考试，晚安",0.0096,负面,0.3025,0.6878
1464,,,好啰嗦不说重点,0.9696,正面,0.0063,0.0239
1465,,,我觉得那个同学要求换宿舍是对的，她是认可你同性的身份的，所以把你当男生看，设想一个女生在自己宿舍里如果有男生混住，那谁会有安全感。,0.9101,正面,0.0009,0.0891
1466,,,虽然站在同的角度被室友嫌弃确实蛮难过的，但是我有个直的朋友跟他室友本来玩的很好，结果最后发现他室友喜欢他，闹掰的很彻底，提到会骂脏话的那种，倒是能理解up室友的想法的，不过这种自己申请搬出去或者换房间比较好,0.5983,正面,0.0014,0.4003
1467,,,接触过同性恋的圈子，男生乱，女生更乱。你们细品吧,0.1243,负面,0.0145,0.8612
1468,,,首先 我从不歧视同性恋 我觉得社会也会慢慢包容你们的存在 毕竟存在即合理 但合乎于理的事情并不一定是有正确价值的 我始终认定这是错误的 但这种错误无关紧要 不应当被人指责 真正该被指责的是那种对正常性取向的人灌输同性恋怎样怎样正确观念的人  同性恋这件事不应当被看作一个地区或是国家文化开放的象征 反尔在我看来这是文化退步 这是一些政客为了为了达成政治影响 炒热个人人设的一种做法 从古至今 从自然界到人类社会的发展一直存在的主流价值已经证明了什么是正确的 现在社会具备包容性了很好 这有助于社会和谐发展 但错误的事情他正确不了至少在这个时代,0.9903,正面,0.0005,0.0091
1469,,,不支持同性恋，但是也不反对！！因为支持也没人给钱我反对也没人给钱我没有钱挣的事情没意义,0.9535,正面,0.0006,0.0459
1470,,,啊？阿婆主不是男的吗,0.8539,正面,0.0077,0.1382
1471,,,我不歧视同性恋，但是你们有没有觉得过同性有点违背自然规律？我个人认为啊，读过书的人应该为天地立心，为生民立命，为往圣继绝学，为万事开太平。违背自然规律本身就是不知天地心，反正我是不会这么去做，别人想做我也管不着，就是发表发表看法，希望大家谨慎看待自身。,0.9202,正面,0.0079,0.0718
1472,,,你好勇敢啊，虽然我不是同，但我很佩服可以大胆承认自己是同的人，加油！会有越来越多的人接受和包容你们的！当然，管别人接受不接受呢，陪伴自己的是我们的爱人啊！,0.9866,正面,0.0029,0.0105
1473,,,"咋说呢，我以前看了一篇百合文狠狠心动了，差点以为自己弯了，但后来发现只是喜欢主角偏男子气的部分，这么多年我应该是一个钢铁直女。
但是上了大学以后我开始对男生也没感觉了
，也不想结婚生子，看到帅哥也不心动。
我家父母偏传统，跟我说如果一个人不结婚，再成功也会被看不起，还说在我们这个小地方，女孩子25以前不结婚就会被议论。我嫂嫂19结婚，还有个嫂嫂20生孩子，我发小也是23结的，就觉得自己格格不入，所以很想离开，去更广阔的世界，明明外面很多40也没有结婚的。
所以真的觉得阿婆主的父母蛮好，希望你们一直幸福下去。",0.9859,正面,0.0002,0.014
1474,,,我是普通人，我觉得同性恋和异性恋一样的，只要是爱的人，其他都可以的,0.9959,正面,0.0,0.0041
1475,,,无性恋与同性恋之间。但对异性也不排斥，偶尔有性幻想，但最激动的还是同性。无法忍受跟另一个人生活在一起的样子，尤其是异性。比较喜欢自己一个人过。,0.8177,正面,0.0023,0.18
1476,,,没有uo主这样的高知家庭，只有个农村的母亲，不愿意接受任何新思想，只会非常固执的让我找对象（异性），大概这辈子应该都不会和解了吧,0.9977,正面,0.0002,0.0021
1477,,,哇擦 打开的一瞬间 甚至以为我自己在说话 咱俩口音太像了,0.0563,负面,0.087,0.8566
1478,,,我爸有个兄弟的女儿是同……我妈说这人有病。。。我崩了,0.9931,正面,0.0004,0.0065
1479,,,阿姨真好啊,0.9992,正面,0.0,0.0008
1480,,,！关注up一年了才发现up是女生,0.0828,负面,0.0367,0.8805
1481,,,我宝宝还不到两岁，我也会跟我老公讨论将来孩子同性取向会怎样。也许是儿子，我老公不太能接受，不过我是跟你妈妈一样的感觉，我想的很开～～,0.57,正面,0.0352,0.3947
1482,,,所以说，人的差距不在于财富，地位，出生，而是认知,0.017,负面,0.0068,0.9762
1483,,,拉拉还在挤眼，感觉gay就上床了，深切感觉拉拉真的好含蓄啊挺好的,0.9984,正面,0.0,0.0016
1484,,,"我爸妈一辈子都不可能和我有这种交流。
虽然我是异性恋，但是up和母亲这种相互交流讨论问题的情形我真的太羡慕了。
他们只会以一个高高在上的父母形象面对我，每次的难过与他们真心诉说时总会招来不理解轻视和嘲讽，所以我选择永远不和他们探讨我重要的事情，永远。",0.1777,负面,0.0703,0.7519
1485,,,但是不知道喜欢的人是不是直女，就不知道怎么办,0.0556,负面,0.0453,0.8989
1486,,,哎…看完很想哭…作为一个80后，早期那个年代经历这些事情真的很难，社会没有现在这么友好。尤其你出生的还是个小城镇那种不开放的城市，身边父母又特别强硬的那种。压力是真的能压垮一个人…对父母的负罪感，对爱人的辜负感，甚至会想结束自己的人生。,0.9841,正面,0.0006,0.0152
1487,,,妈妈好好啊,0.9973,正面,0.0002,0.0025
1488,,,我喜欢了一个女生，是我最好的朋友。我预初的时候刚和他接触就对她有好感，那时候还不知道有txl这个是，我就对那种感觉很奇怪。我在后面的一年多慢慢和她接触，后来知道了tl，gl，我就挺怀疑自己喜欢她。我不知道她是怎么看我的，我不知道要怎么面对她。我慢慢试探她，她对txl并不抵触，也会磕cp，不论是异次元还是真人。但她一直不会上升到她自己，我不知道她是直是弯。我现在初三了，我太难受了，我不想去面对我会和她分开这个事。我很害怕，而且我妈也怀疑了。因为我每次和我妈聊天我总会不经意讲起她，有一次我妈说“你是不是喜欢她，三句话不离她”我整个人都愣了愣。我真地很忐忑 ，因为掰弯直女是不太好的。但我和她很亲密，我班上的同学也经常调侃我喜欢她，我每次都很尴尬，她好像不在乎但我真的不确定她是否能接受。我在她的面前都是致力于磕cp，不谈恋爱的人设，她亦是如此。我对她真的很纠结，这颗心一直不上不下。我想过如果她是直女我就陪着她，直到她接受了我。但我也想过我会和她分开，成为她漫长生命中的一个过客。我现在也是个初三生了，我就想着在这最后的时间里和她在一起，有许多个第一次，我还会以学习的借口一起在家线上学习，和她一起努力。我会在毕业那一天郑重地告诉她——我喜欢她。,0.7814,正面,0.0009,0.2177
1489,,,"我初一的时候认识到我喜欢女孩子，然后才发现其实小学也是在喜欢，但没有发现。
所以说时间真的会冲淡很多东西，初中喜欢了三年的那个孩子最后找到了男朋友，小学喜欢的人早就不知道去哪里去了，直到现在我已经有了女朋友，但却总不能放下心里的不安。
我的母亲她跟我说无所谓，因为我跟她坦白了性取向，但对于除了我之外的同或者双，她依旧会觉得很恶心。（单亲，跟母亲住）
我不敢出柜，但我目前正在就读国际学校，过几年就要去英国留学。
也许到时候，会有办法给我一些勇气吧。
（然后我女朋友在国内。）
就很难",0.9955,正面,0.0002,0.0043
1490,,,初一新生，刚开学有个初三的女孩子就找我说要跟我处关系当时她就是每天看我（已经拒绝了）我感觉对我的学习造成了很大的影响，于是有一天就没忍住告诉了家长和老师，本以为这件事就这样结束了，结果第二天她就一直瞪我，初三的姐姐问过她她却说我臭不要脸冲她暗送秋波又告老师，说瞪死我，那天我就没忍住把她摁在墙上骂了，感觉也挺失望的,0.6531,正面,0.012,0.3349
1491,,,阿姨真好,0.8942,正面,0.0025,0.1033
1492,,,我觉得像我这种不喜欢男生不喜欢女生只喜欢自己的人应该叫自恋吧,0.0841,负面,0.0013,0.9147
1493,,,up这期造型好帅,0.1989,负面,0.0108,0.7902
1494,,,UP主的三观真得好正！妈妈的也是！真是关注了一个宝藏UP主！,0.9837,正面,0.0001,0.0161
1495,,,虽然不是同但是理解支持！另外这哪里渣了，两三任不是很正常吗,0.9993,正面,0.0,0.0007
1496,,,以前打游戏遇见一个男的，他一直以为我是女的，然后知道我是男的就把我删了哈哈哈哈但是现在对性取向没有什么思考。就像我想要变成女生一样，可能不正常，但这是自己的爱好，别人没权利管你,0.9888,正面,0.0063,0.0049
1497,,,我对我爸妈说我不想结婚，我自己一个人过一辈子。我爸妈说你不结婚就别叫我们爸妈，你要是不结婚我们就搬走让你永远找不到。我很伤心，一辈子单身，永远独身就是不对的吗？我只是不想结婚，一个人在这个世界单独生活就那么不可饶恕吗？,0.949,正面,0.0078,0.0432
1498,,,"个人认为，在与家人(父母)涉及到比较大原则性争议时，语言战略上可以一步步来。
我理论上双性恋偏男，但倾向于没有Mr./Ms.RIGHT那么单身挺好，小学言情初中起点高中至今耽美，高中先试探过一下我妈妈(对不婚/同性恋/丁克等看法)，然后慢慢有空聊聊婚恋观，她自己是相亲认识我爸，于是希望我有浪漫的爱情到婚姻，但我表示没有合适对象不婚也挺好后她也表示赞同。
她其实早期还是比较保守吧，后来被她的电视剧、我的小说慢慢定向输出成功了。
她可能还是对我有她的期待，但我怎么过还是我自己来，温水煮青蛙，她也会慢慢接受。",0.9958,正面,0.0,0.0042
1499,,,我还记得我妈有在知道我看的小说时，问过我要不要看心理医生,0.9982,正面,0.0,0.0018
1500,,,我妈说@第二代DD说的是歪理[笑],0.9894,正面,0.0001,0.0105
1501,,,"我之前算是旁敲侧击地问过我妈如果我是同性恋该怎么办，这个时候我已经有女朋友了，但是我还是想先问问我妈她对于我找女朋友的看法，再决定要不要坦白。
我：妈妈，我以后要是不找男朋友了你会说我嘛？
我妈：不会啊，那是你自己的事，你不找男朋友不结婚我也管不着。
我：那我要是找了个女朋友该咋办啊？
我妈：还能怎么办，凉拌。

我觉得我妈的反应挺迷的，我也没搞明白她到底同意了还是没同意。之前我有个姐姐和家里出柜了，我妈妈和她妈妈聊过几句，我妈回来之后又和我说了，我觉得她当时态度挺平和的，应该是不反对的，但是我怎么还是心里没底儿呢……
其实我还是较倾向于她不反对，毕竟我还有个弟弟",0.9956,正面,0.0012,0.0032
1502,,,阿姨太好了抱走阿姨阿毛留给姐姐吧……,0.9945,正面,0.0001,0.0054
1503,,,置顶up不是性别认知障碍哦,0.2518,负面,0.15,0.5982
1504,,,"我觉得我很奇怪。。。。现在有男生追我我没点感觉
但我也不怎么喜欢女生，我是一个钢铁直女",0.9849,正面,0.0003,0.0147
1505,,,前车之鉴，不要尝试把直女掰弯，也不要轻易相信直女说可以为你改变，她们不够了解这种天生感受，如果你又是个t，人家很可能把你当做披着女性外表的男性……,0.9958,正面,0.0,0.0042
1506,,,作为单身狗，没资格评价同性恋异性恋，因为我连恋都没有,0.0167,负面,0.3036,0.6797
1507,,,我妈以为我和我闺蜜是同，然后去找我闺蜜妈妈聊天，后来我们俩家吃了顿饭，我妈拉着我闺蜜的手，就哭，说我家小不点以后就靠你了，然后我闺蜜妈妈也在一边哭，还说大姐你就放心吧……我在一边懵的要命,0.9239,正面,0.0016,0.0744
1508,,,对男的也没感觉对女的也没感觉的我,0.8987,正面,0.015,0.0863
1509,,,"我是男的…   表示同性恋是很普通的一件事。
         我有一个朋友也是拉拉，很帅气的一个大姐姐，平常和她出去玩比和一部分男性朋友出去玩还要放松。没有什么特别需要避讳的话题，很随意很轻松的一种感觉。如果你也发现了你的朋友是拉拉，请你别歧视她，可能那是一个宝藏女孩。",0.9643,正面,0.0008,0.0349
1510,,,"阿毛君你是最棒的。

大学时候，我曾表情严肃实则开玩笑的跟我爸妈说:我喜欢女的，我找了个女朋友。

还把我舍友照片给他们看，一脸兴奋的问她们:怎么样，是不是很漂亮，我眼光不错吧！

我妈看了一眼笑着说:漂亮，你给你弟也找一个啊。

我爸笑着说:给你钱，带回家我们康康。

我:

我要是同性恋，我还不得美死，但我太直了",0.2074,负面,0.0685,0.7241
1511,,,大家好！其实我是颜性恋。。。,0.8495,正面,0.0125,0.1379
1512,,,我一个钢筋直女无意中看了你的视频，看完了，还感动的流下了热泪。无论是什么恋，都没有妈妈更爱你。,0.9803,正面,0.0001,0.0196
